idx,from_airport_id,to_airport_id,aircraft_id
924,TYN,HGH,320
925,TYN,SHE,321
926,TYN,TVS,319
927,URC,CGO,320
928,URC,CKG,320
929,URC,CTU,319
930,URC,KHG,319
931,URC,XIY,319
932,UYN,XIY,319
933,WNZ,CSX,319
934,WNZ,CTU,320
935,WNZ,HRB,321
936,WNZ,KWE,320
937,WNZ,SYX,321
938,WUH,CKG,319
939,WUH,CTU,319
940,WUH,HRB,321
941,WUH,JJN,319
942,WUH,NNG,321
943,WUH,NTG,319
944,WUX,CKG,319
945,WUX,CTU,320
946,WXN,CTU,319
947,WXN,KMG,320
948,WXN,PEK,320
949,WXN,SZX,319
950,XIC,CTU,320
951,XIY,BHY,321
952,XIY,CKG,319
953,XIY,CTU,320
954,XIY,FOC,319
955,XIY,GXH,319
956,XIY,HRB,321
957,XIY,KMG,320
958,XIY,LXA,319
959,XIY,LYI,319
960,XIY,TNA,320
961,XIY,URC,319
962,XIY,UYN,319
963,XIY,XMN,319
964,XIY,XNN,319
965,XIY,YBP,319
966,XMN,CSX,321
967,XMN,CTU,320
968,XMN,CZX,321
969,XMN,KMG,320
970,XMN,KOW,320
971,XMN,XIY,319
972,XNN,CKG,320
973,XNN,CTU,320
974,XNN,LXA,319
975,XNN,MIG,320
976,XNN,XIY,319
977,XNN,ZHY,320
978,XUZ,CTU,320
979,XUZ,DLC,320
980,XUZ,HRB,320
981,XUZ,KMG,320
982,XUZ,KWE,321
983,XUZ,SHE,320
984,YBP,SYX,319
985,YBP,XIY,319
986,YIH,CKG,319
987,YIH,CTU,320
988,YIH,HKG,320
989,YTY,CTU,319
990,YVR,SHE,330
991,ZHA,CKG,319
992,ZHA,HKG,319
993,ZHY,PEK,320
994,ZHY,XNN,320
995,ZUH,CZX,320
996,ZUH,HAK,320
997,LAS,LAX,PL2
998,LAX,LAS,PL2
999,CAI,TLV,E70
1000,TLV,CAI,E70
1001,MCG,NIB,PAG
1002,MCG,TCT,PAG
1003,NIB,MCG,PAG
1004,TCT,TLJ,PAG
1005,TLJ,MCG,PAG
1006,EYK,VKO,YK2
1007,NCU,VKO,73G
1008,NUX,TJM,TU5
1009,NUX,UFA,TU5
1010,NUX,VKO,73G
1011,NYM,OVS,YK4
1012,NYM,VKO,73G
1013,OVS,NYM,YK4
1014,OVS,SVX,YK4
1015,OVS,VKO,YK2
1016,SVX,OVS,YK4
1017,TJM,NUX,TU5
1018,UCT,VKO,YK2
1019,UFA,NUX,TU5
1020,VKO,EYK,YK2
1021,VKO,NCU,73G
1022,VKO,NUX,73G
1023,VKO,NYM,73G
1024,VKO,OVS,YK2
1025,VKO,UCT,YK2
1026,BKK,DAC,AT7
1027,BZL,DAC,DH8
1028,CCU,CGP,AT7
1029,CCU,DAC,AT7
1030,CGP,CCU,AT7
1031,CGP,DAC,DH8
1032,CGP,MCT,313
1033,CXB,DAC,DH8
1034,DAC,BKK,AT7
1035,DAC,BZL,DH8
1036,DAC,CCU,AT7
1037,DAC,CGP,DH8
1038,DAC,CXB,DH8
1039,DAC,DXB,313
1040,DAC,JED,313
1041,DAC,JSR,DH8
1042,DAC,KTM,AT7
1043,DAC,KUL,AT7
1044,DAC,MCT,313
1045,DAC,SPD,DH8
1046,DAC,ZYL,313
1047,DXB,DAC,313
1048,JED,DAC,313
